
映像名称                       PID 会话名              会话#       内存使用 
pwsh.exe                     11712 Console                    3    127,424 K
conhost.exe                   9208 Console                    3      7,228 K
pwsh.exe                     11680 Console                    3    117,272 K
conhost.exe                   3320 Console                    3      7,296 K
pwsh.exe                     24452 Console                    3    166,988 K
conhost.exe                  17540 Console                    3      7,268 K
pwsh.exe                     27536 Console                    3    128,928 K
conhost.exe                  22948 Console                    3      7,240 K
pwsh.exe                     26316 Console                    3    116,652 K
SunloginClient.exe           22000 Console                    3    357,852 K
SearchProtocolHost.exe       28100 Services                   0     15,804 K
conhost.exe                  17428 Console                    3      7,216 K
pwsh.exe                     16152 Console                    3    111,920 K
conhost.exe                   1236 Console                    3      7,264 K
pwsh.exe                     24024 Console                    3    116,336 K
svchost.exe                  29072 Services                   0     21,412 K
SearchFilterHost.exe         28636 Services                   0     10,676 K
cmd.exe                       6888 Console                    3      7,664 K
g++.exe                      32460 Console                    3      6,400 K
conhost.exe                   9856 Console                    3      7,160 K
pwsh.exe                     17132 Console                    3    106,072 K
collect2.exe                 24792 Console                    3      3,952 K
ld.exe                       10684 Console                    3    646,316 K
cmd.exe                      13744 Console                    3      4,228 K
tasklist.exe                 27196 Console                    3      9,916 K
